
# Surface 0 of 1 surfaces

# Curve title: ""Ver000_contourtmp1.dat""

# Contour 0, label:      1.4
-2.17598 -0.556  0.6 
-1.667 -0.215495  0.6 
-1.05321 -0.556  0.6 
-0.556 -1.05321  0.6 
-0.215495 -1.667  0.6 
-0.556 -2.17598  0.6 
-0.96705 -2.778  0.6 
-1.08378 -3.889  0.6 
-0.978738 -5  0.6 

# Contour 23, label: 
 4.999 -0.089747  0.6 
 4.09151 -0.556  0.6 
 3.888 -0.69258  0.6 
 2.777 -1.10732  0.6 
 1.666 -1.06247  0.6 
 1.0617 -1.667  0.6 
 1.10699 -2.778  0.6 
 0.691642 -3.889  0.6 
 0.555 -4.09283  0.6 
 0.0886448 -5  0.6 

# Contour 24, label: 
 0.978453  4.999  0.6 
 1.08335  3.888  0.6 
 0.966474  2.777  0.6 
 0.555  2.17439  0.6 
 0.214703  1.666  0.6 
 0.555  1.05689  0.6 
 1.05689  0.555  0.6 
 1.666  0.214703  0.6 
 2.17439  0.555  0.6 
 2.777  0.966474  0.6 
 3.888  1.08335  0.6 
 4.999  0.978453  0.6 

# Contour 25, label: 
-0.089747  4.999  0.6 
-0.556  4.09151  0.6 
-0.69258  3.888  0.6 
-1.10732  2.777  0.6 
-1.06247  1.666  0.6 
-1.667  1.0617  0.6 
-2.778  1.10699  0.6 
-3.889  0.691642  0.6 
-4.09283  0.555  0.6 
-5  0.0886448  0.6 


# Contour 26, label:      0.5
-5 -1.10003  0.5 
-3.889 -1.21799  0.5 
-2.778 -1.16425  0.5 
-1.88717 -0.556  0.5 
-1.667 -0.40871  0.5 
-1.4015 -0.556  0.5 
-0.556 -1.4015  0.5 
-0.40871 -1.667  0.5 
-0.556 -1.88717  0.5 
-1.16425 -2.778  0.5 
-1.21799 -3.889  0.5 
-1.10003 -5  0.5 

# Contour 27, label: 
 4.999 -0.274314  0.5 
 4.45074 -0.556  0.5 
 3.888 -0.933671  0.5 
 2.777 -1.2551  0.5 
 1.666 -1.18958  0.5 
 1.18877 -1.667  0.5 
 1.25491 -2.778  0.5 
 0.932844 -3.889  0.5 
 0.555 -4.45263  0.5 
 0.273611 -5  0.5 

# Contour 28, label: 
 1.09967  4.999  0.5 
 1.21767  3.888  0.5 
 1.16379  2.777  0.5 
 0.555  1.88541  0.5 
 0.408134  1.666  0.5 
 0.555  1.40312  0.5 
 1.40312  0.555  0.5 
 1.666  0.408134  0.5 
 1.88541  0.555  0.5 
 2.777  1.16379  0.5 
 3.888  1.21767  0.5 
 4.999  1.09967  0.5 

# Contour 29, label: 
-0.274314  4.999  0.5 
-0.556  4.45074  0.5 
-0.933671  3.888  0.5 
-1.2551  2.777  0.5 
-1.18958  1.666  0.5 
-1.667  1.18877  0.5 
-2.778  1.25491  0.5 
-3.889  0.932844  0.5 
-4.45263  0.555  0.5 
-5  0.273611  0.5 


# Contour 30, label:      0.4
-5 -1.22133  0.4 
-3.889 -1.3522  0.4 
-2.778 -1.36145  0.4 
-1.667 -0.659357  0.4 
-0.659357 -1.667  0.4 
-1.36145 -2.778  0.4 
-1.3522 -3.889  0.4 
-1.22133 -5  0.4 

# Contour 31, label: 
 4.999 -0.458881  0.4 
 4.80997 -0.556  0.4 
 3.888 -1.17476  0.4 
 2.777 -1.40289  0.4 
 1.666 -1.3167  0.4 
 1.31583 -1.667  0.4 
 1.40283 -2.778  0.4 
 1.17405 -3.889  0.4 
 0.555 -4.81243  0.4 
 0.458577 -5  0.4 

# Contour 32, label: 
 1.22089  4.999  0.4 
 1.352  3.888  0.4 
 1.36111  2.777  0.4 
 0.659563  1.666  0.4 
 1.666  0.659563  0.4 
 2.777  1.36111  0.4 
 3.888  1.352  0.4 
 4.999  1.22089  0.4 

# Contour 33, label: 
-0.458881  4.999  0.4 
-0.556  4.80997  0.4 
-1.17476  3.888  0.4 
-1.40289  2.777  0.4 
-1.3167  1.666  0.4 
-1.667  1.31583  0.4 
-2.778  1.40283  0.4 
-3.889  1.17405  0.4 
-4.81243  0.555  0.4 
-5  0.458577  0.4 


# Contour 34, label:      0.3
 4.999 -0.730197  0.3 
 3.888 -1.41585  0.3 
 2.777 -1.55067  0.3 
 1.666 -1.44381  0.3 
 1.4429 -1.667  0.3 
 1.55075 -2.778  0.3 
 1.41525 -3.889  0.3 
 0.730718 -5  0.3 

# Contour 35, label: 
-5 -1.34262  0.3 
-3.889 -1.48641  0.3 
-2.778 -1.55865  0.3 
-1.667 -1.09419  0.3 
-1.09419 -1.667  0.3 
-1.55865 -2.778  0.3 
-1.48641 -3.889  0.3 
-1.34262 -5  0.3 

# Contour 36, label: 
 1.34211  4.999  0.3 
 1.48632  3.888  0.3 
 1.55843  2.777  0.3 
 1.09392  1.666  0.3 
 1.666  1.09392  0.3 
 2.777  1.55843  0.3 
 3.888  1.48632  0.3 
 4.999  1.34211  0.3 

# Contour 37, label: 
-0.730197  4.999  0.3 
-1.41585  3.888  0.3 
-1.55067  2.777  0.3 
-1.44381  1.666  0.3 
-1.667  1.4429  0.3 
-2.778  1.55075  0.3 
-3.889  1.41525  0.3 
-5  0.730718  0.3 


# Contour 38, label:      0.2
 1.666 -1.57093  0.2 
 1.56996 -1.667  0.2 
 1.666 -2.5268  0.2 
 2.5329 -1.667  0.2 
 1.666 -1.57093  0.2 

# Contour 39, label: 
-1.667  2.5329  0.2 
-2.5268  1.666  0.2 
-1.667  1.56996  0.2 
-1.57093  1.666  0.2 
-1.667  2.5329  0.2 

# Contour 40, label: 
 4.999 -1.09786  0.2 
 3.888 -1.65695  0.2 
 3.70598 -1.667  0.2 
 2.777 -1.77429  0.2 
 1.77691 -2.778  0.2 
 1.666 -3.72006  0.2 
 1.65645 -3.889  0.2 
 1.09779 -5  0.2 

# Contour 41, label: 
-5 -1.46392  0.2 
-3.889 -1.62062  0.2 
-3.40676 -1.667  0.2 
-2.778 -1.87543  0.2 
-2.12608 -1.667  0.2 
-1.667 -1.52903  0.2 
-1.52903 -1.667  0.2 
-1.667 -2.12608  0.2 
-1.87543 -2.778  0.2 
-1.667 -3.40676  0.2 
-1.62062 -3.889  0.2 
-1.46392 -5  0.2 

# Contour 42, label: 
 1.46333  4.999  0.2 
 1.62064  3.888  0.2 
 1.666  3.41463  0.2 
 1.87607  2.777  0.2 
 1.666  2.12237  0.2 
 1.52827  1.666  0.2 
 1.666  1.52827  0.2 
 2.12237  1.666  0.2 
 2.777  1.87607  0.2 
 3.41463  1.666  0.2 
 3.888  1.62064  0.2 
 4.999  1.46333  0.2 

# Contour 43, label: 
-1.09786  4.999  0.2 
-1.65695  3.888  0.2 
-1.667  3.70598  0.2 
-1.77429  2.777  0.2 
-2.778  1.77691  0.2 
-3.72006  1.666  0.2 
-3.889  1.65645  0.2 
-5  1.09779  0.2 


# Contour 44, label:      0.1
 4.999 -1.46552  0.1 
 4.5948 -1.667  0.1 
 3.888 -2.2226  0.1 
 2.777 -2.27839  0.1 
 2.2792 -2.778  0.1 
 2.22229 -3.889  0.1 
 1.666 -4.5964  0.1 
 1.46486 -5  0.1 

# Contour 45, label: 
-5 -1.58521  0.1 
-4.4362 -1.667  0.1 
-3.889 -2.10688  0.1 
-2.778 -2.33803  0.1 
-2.33803 -2.778  0.1 
-2.10688 -3.889  0.1 
-1.667 -4.4362  0.1 
-1.58521 -5  0.1 

# Contour 46, label: 
 1.58455  4.999  0.1 
 1.666  4.43949  0.1 
 2.10908  3.888  0.1 
 2.33792  2.777  0.1 
 2.777  2.33792  0.1 
 3.888  2.10908  0.1 
 4.43949  1.666  0.1 
 4.999  1.58455  0.1 

# Contour 47, label: 
-1.46552  4.999  0.1 
-1.667  4.5948  0.1 
-2.2226  3.888  0.1 
-2.27839  2.777  0.1 
-2.778  2.2792  0.1 
-3.889  2.22229  0.1 
-4.5964  1.666  0.1 
-5  1.46486  0.1 

