
# Surface 0 of 1 surfaces

# Curve title: ""Ver000_contourtmp0.dat""

# Contour 0, label:      440
 66.66  0.634842  260 
 75.629  0.777681  260 
 77.77  0.807045  260 
 88.88  0.881815  260 
 99.99  0.880829  260 

# Contour 20, label: 
 2.83305  0.999891  260 
 0  0.850789  260 


# Contour 21, label:      240
 99.99 -0.197375  240 
 88.88 -0.254655  240 
 77.77 -0.245939  240 
 66.66 -0.208926  240 
 55.55 -0.184542  240 
 51.9225 -0.33337  240 
 53.6146 -0.55558  240 
 55.2944 -0.77779  240 
 55.036 -1  240 

# Contour 22, label: 
 0  0.0688505  240 
 11.11 -0.102915  240 
 11.3426 -0.11116  240 
 11.11 -0.161888  240 
 9.06607 -0.33337  240 
 0.78332 -0.55558  240 
 0 -0.580089  240 

# Contour 23, label: 
 40.9208  0.999891  240 
 41.4029  0.777681  240 
 44.44  0.706739  240 
 55.55  0.659804  240 
 66.66  0.773568  240 
 66.9183  0.777681  240 
 77.77  0.926514  240 
 88.88  0.963377  240 
 99.99  0.946351  240 

# Contour 24, label: 
 0.0237986  0.999891  240 
 0  0.998638  240 


# Contour 25, label:      220
 99.99 -0.326431  220 
 95.9239 -0.33337  220 
 88.88 -0.349811  220 
 85.7275 -0.33337  220 
 77.77 -0.316727  220 
 66.66 -0.282159  220 
 55.55 -0.312329  220 
 55.0372 -0.33337  220 
 55.55 -0.403357  220 
 58.135 -0.55558  220 
 60.8666 -0.77779  220 
 61.3162 -1  220 

# Contour 26, label: 
 52.4962  0.999891  220 
 55.55  0.894395  220 
 66.66  0.991543  220 
 67.6532  0.999891  220 


# Contour 27, label:      200
 99.99 -0.537413  200 
 88.88 -0.526332  200 
 77.77 -0.498061  200 
 66.66 -0.472076  200 
 65.3532 -0.55558  200 
 66.5874 -0.77779  200 
 66.66 -0.793103  200 
 70.5983 -1  200 

