
# Surface 0 of 1 surfaces

# Curve title: ""Ver000_contourtmp2.dat""

# Contour 0, label:      1.9
 0.0509992 -0.555589  1.5 
 0.0621045 -0.561241  1.5 
 0.153039 -0.611902  1.5 
 0.255079 -0.642309  1.5 
 0.357119 -0.63979  1.5 
 0.459159 -0.597634  1.5 
 0.506345 -0.561241  1.5 
 0.561199 -0.506313  1.5 
 0.597562 -0.459201  1.5 
 0.63981 -0.357161  1.5 
 0.642359 -0.255121  1.5 
 0.611896 -0.153081  1.5 
 0.561199 -0.0620183  1.5 
 0.555621 -0.0510409  1.5 
 0.482544  0.0509992  1.5 
 0.459159  0.0778093  1.5 
 0.396165  0.153039  1.5 
 0.357119  0.194594  1.5 
 0.299986  0.255079  1.5 
 0.255079  0.299986  1.5 
 0.194594  0.357119  1.5 
 0.153039  0.396165  1.5 
 0.0778093  0.459159  1.5 
 0.0509992  0.482544  1.5 
-0.0510409  0.555621  1.5 
-0.0620183  0.561199  1.5 
-0.153081  0.611896  1.5 
-0.255121  0.642359  1.5 
-0.357161  0.63981  1.5 
-0.459201  0.597562  1.5 


# Contour 5, label:      1.4
-0.459201  0.703722  1.4 
-0.517487  0.663239  1.4 
-0.561241  0.630372  1.4 
-0.630484  0.561199  1.4 
-0.663281  0.517459  1.4 
-0.703699  0.459159  1.4 
-0.737825  0.357119  1.4 
-0.732769  0.255079  1.4 
-0.694221  0.153039  1.4 
-0.663281  0.106186  1.4 
-0.631368  0.0509992  1.4 
-0.561241 -0.0383864  1.4 
-0.552139 -0.0510409  1.4 
-0.463154 -0.153081  1.4 
-0.459201 -0.157136  1.4 
-0.36711 -0.255121  1.4 
-0.357161 -0.26514  1.4 
-0.26514 -0.357161  1.4 
-0.255121 -0.36711  1.4 
-0.157136 -0.459201  1.4 
-0.153081 -0.463154  1.4 
-0.0510409 -0.552139  1.4 
-0.0383864 -0.561241  1.4 
 0.0509992 -0.631368  1.4 
 0.106186 -0.663281  1.4 
 0.153039 -0.694221  1.4 
 0.255079 -0.732769  1.4 
 0.357119 -0.737825  1.4 
 0.459159 -0.703699  1.4 
 0.517459 -0.663281  1.4 
 0.561199 -0.630484  1.4 
 0.630372 -0.561241  1.4 
 0.663239 -0.517487  1.4 
 0.703722 -0.459201  1.4 
 0.737827 -0.357161  1.4 
 0.73276 -0.255121  1.4 
 0.694234 -0.153081  1.4 
 0.663239 -0.106164  1.4 
 0.63135 -0.0510409  1.4 
 0.561199  0.0385096  1.4 
 0.552224  0.0509992  1.4 
 0.463188  0.153039  1.4 
 0.459159  0.157175  1.4 
 0.367146  0.255079  1.4 
 0.357119  0.26518  1.4 
 0.26518  0.357119  1.4 
 0.255079  0.367146  1.4 
 0.157175  0.459159  1.4 
 0.153039  0.463188  1.4 
 0.0509992  0.552224  1.4 
 0.0385096  0.561199  1.4 
-0.0510409  0.63135  1.4 
-0.106164  0.663239  1.4 
-0.153081  0.694234  1.4 
-0.255121  0.73276  1.4 
-0.357161  0.737827  1.4 
-0.459201  0.703722  1.4 


# Contour 6, label:      1.3
-0.459201  0.815592  1.3 
-0.530291  0.765279  1.3 
-0.561241  0.744381  1.3 
-0.64903  0.663239  1.3 
-0.663281  0.649004  1.3 
-0.744444  0.561199  1.3 
-0.765321  0.530249  1.3 
-0.815575  0.459159  1.3 
-0.84549  0.357119  1.3 
-0.832617  0.255079  1.3 
-0.783408  0.153039  1.3 
-0.765321  0.130212  1.3 
-0.712278  0.0509992  1.3 
-0.663281 -0.00405861  1.3 
-0.626256 -0.0510409  1.3 
-0.561241 -0.119891  1.3 
-0.532273 -0.153081  1.3 
-0.459201 -0.228037  1.3 
-0.433746 -0.255121  1.3 
-0.357161 -0.33225  1.3 
-0.33225 -0.357161  1.3 
-0.255121 -0.433746  1.3 
-0.228037 -0.459201  1.3 
-0.153081 -0.532273  1.3 
-0.119891 -0.561241  1.3 
-0.0510409 -0.626256  1.3 
-0.00405861 -0.663281  1.3 
 0.0509992 -0.712278  1.3 
 0.130212 -0.765321  1.3 
 0.153039 -0.783408  1.3 
 0.255079 -0.832617  1.3 
 0.357119 -0.84549  1.3 
 0.459159 -0.815575  1.3 
 0.530249 -0.765321  1.3 
 0.561199 -0.744444  1.3 
 0.649004 -0.663281  1.3 
 0.663239 -0.64903  1.3 
 0.744381 -0.561241  1.3 
 0.765279 -0.530291  1.3 
 0.815592 -0.459201  1.3 
 0.845531 -0.357161  1.3 
 0.832576 -0.255121  1.3 
 0.783383 -0.153081  1.3 
 0.765279 -0.130226  1.3 
 0.712277 -0.0510409  1.3 
 0.663239  0.00411436  1.3 
 0.626354  0.0509992  1.3 
 0.561199  0.119949  1.3 
 0.532303  0.153039  1.3 
 0.459159  0.228115  1.3 
 0.433817  0.255079  1.3 
 0.357119  0.332338  1.3 
 0.332338  0.357119  1.3 
 0.255079  0.433817  1.3 
 0.228115  0.459159  1.3 
 0.153039  0.532303  1.3 
 0.119949  0.561199  1.3 
 0.0509992  0.626354  1.3 
 0.00411436  0.663239  1.3 
-0.0510409  0.712277  1.3 
-0.130226  0.765279  1.3 
-0.153081  0.783383  1.3 
-0.255121  0.832576  1.3 
-0.357161  0.845531  1.3 
-0.459201  0.815592  1.3 


# Contour 7, label:      1.2
-0.357161  0.975523  1.2 
-0.377252  0.969359  1.2 
-0.459201  0.947941  1.2 
-0.561025  0.867319  1.2 
-0.561241  0.867169  1.2 
-0.663281  0.76676  1.2 
-0.664645  0.765279  1.2 
-0.765321  0.664603  1.2 
-0.766804  0.663239  1.2 
-0.867336  0.561199  1.2 
-0.948054  0.459159  1.2 
-0.969401  0.37691  1.2 
-0.975414  0.357119  1.2 
-0.969401  0.337456  1.2 
-0.950623  0.255079  1.2 
-0.886686  0.153039  1.2 
-0.867361  0.133102  1.2 
-0.80215  0.0509992  1.2 
-0.765321  0.0154067  1.2 
-0.706243 -0.0510409  1.2 
-0.663281 -0.091852  1.2 
-0.605529 -0.153081  1.2 
-0.561241 -0.195408  1.2 
-0.503069 -0.255121  1.2 
-0.459201 -0.297862  1.2 
-0.400333 -0.357161  1.2 
-0.357161 -0.400333  1.2 
-0.297862 -0.459201  1.2 
-0.255121 -0.503069  1.2 
-0.195408 -0.561241  1.2 
-0.153081 -0.605529  1.2 
-0.091852 -0.663281  1.2 
-0.0510409 -0.706243  1.2 
 0.0154067 -0.765321  1.2 
 0.0509992 -0.80215  1.2 
 0.133102 -0.867361  1.2 
 0.153039 -0.886686  1.2 
 0.255079 -0.950623  1.2 
 0.337456 -0.969401  1.2 
 0.357119 -0.975414  1.2 
 0.37691 -0.969401  1.2 
 0.459159 -0.948054  1.2 
 0.561163 -0.867361  1.2 
 0.663239 -0.766804  1.2 
 0.664603 -0.765321  1.2 
 0.765279 -0.664645  1.2 
 0.76676 -0.663281  1.2 
 0.867169 -0.561241  1.2 
 0.867319 -0.561025  1.2 
 0.947941 -0.459201  1.2 
 0.969359 -0.377252  1.2 
 0.975523 -0.357161  1.2 
 0.969359 -0.336983  1.2 
 0.950694 -0.255121  1.2 
 0.886732 -0.153081  1.2 
 0.867319 -0.133054  1.2 
 0.802171 -0.0510409  1.2 
 0.765279 -0.015356  1.2 
 0.706327  0.0509992  1.2 
 0.663239  0.0919023  1.2 
 0.60553  0.153039  1.2 
 0.561199  0.195439  1.2 
 0.503135  0.255079  1.2 
 0.459159  0.297952  1.2 
 0.400434  0.357119  1.2 
 0.357119  0.400434  1.2 
 0.297952  0.459159  1.2 
 0.255079  0.503135  1.2 
 0.195439  0.561199  1.2 
 0.153039  0.60553  1.2 
 0.0919023  0.663239  1.2 
 0.0509992  0.706327  1.2 
-0.015356  0.765279  1.2 
-0.0510409  0.802171  1.2 
-0.133054  0.867319  1.2 
-0.153081  0.886732  1.2 
-0.255121  0.950694  1.2 
-0.336983  0.969359  1.2 
-0.357161  0.975523  1.2 


# Contour 8, label:      1.1
-0.459201  1.14452  1.1 
-0.521431  1.0714  1.1 
-0.561241  1.03385  1.1 
-0.603294  0.969359  1.1 
-0.663281  0.898763  1.1 
-0.686635  0.867319  1.1 
-0.765321  0.782066  1.1 
-0.782108  0.765279  1.1 
-0.867361  0.686672  1.1 
-0.898947  0.663239  1.1 
-0.969401  0.603382  1.1 
-1.03397  0.561199  1.1 
-1.07144  0.521389  1.1 
-1.14475  0.459159  1.1 
-1.16492  0.357119  1.1 
-1.11139  0.255079  1.1 
-1.07144  0.218816  1.1 
-1.01717  0.153039  1.1 
-0.969401  0.113627  1.1 
-0.908697  0.0509992  1.1 
-0.867361  0.0175249  1.1 
-0.796353 -0.0510409  1.1 
-0.765321 -0.0766851  1.1 
-0.684738 -0.153081  1.1 
-0.663281 -0.171586  1.1 
-0.575684 -0.255121  1.1 
-0.561241 -0.268275  1.1 
-0.469882 -0.357161  1.1 
-0.459201 -0.367509  1.1 
-0.367509 -0.459201  1.1 
-0.357161 -0.469882  1.1 
-0.268275 -0.561241  1.1 
-0.255121 -0.575684  1.1 
-0.171586 -0.663281  1.1 
-0.153081 -0.684738  1.1 
-0.0766851 -0.765321  1.1 
-0.0510409 -0.796353  1.1 
 0.0175249 -0.867361  1.1 
 0.0509992 -0.908697  1.1 
 0.113627 -0.969401  1.1 
 0.153039 -1.01717  1.1 
 0.218816 -1.07144  1.1 
 0.255079 -1.11139  1.1 
 0.357119 -1.16492  1.1 
 0.459159 -1.14475  1.1 
 0.521389 -1.07144  1.1 
 0.561199 -1.03397  1.1 
 0.603382 -0.969401  1.1 
 0.663239 -0.898947  1.1 
 0.686672 -0.867361  1.1 
 0.765279 -0.782108  1.1 
 0.782066 -0.765321  1.1 
 0.867319 -0.686635  1.1 
 0.898763 -0.663281  1.1 
 0.969359 -0.603294  1.1 
 1.03385 -0.561241  1.1 
 1.0714 -0.521431  1.1 
 1.14452 -0.459201  1.1 
 1.16493 -0.357161  1.1 
 1.11137 -0.255121  1.1 
 1.0714 -0.218727  1.1 
 1.01727 -0.153081  1.1 
 0.969359 -0.113669  1.1 
 0.908656 -0.0510409  1.1 
 0.867319 -0.0175666  1.1 
 0.796375  0.0509992  1.1 
 0.765279  0.0766999  1.1 
 0.684697  0.153039  1.1 
 0.663239  0.171544  1.1 
 0.575711  0.255079  1.1 
 0.561199  0.268307  1.1 
 0.469976  0.357119  1.1 
 0.459159  0.367604  1.1 
 0.367604  0.459159  1.1 
 0.357119  0.469976  1.1 
 0.268307  0.561199  1.1 
 0.255079  0.575711  1.1 
 0.171544  0.663239  1.1 
 0.153039  0.684697  1.1 
 0.0766999  0.765279  1.1 
 0.0509992  0.796375  1.1 
-0.0175666  0.867319  1.1 
-0.0510409  0.908656  1.1 
-0.113669  0.969359  1.1 
-0.153081  1.01727  1.1 
-0.218727  1.0714  1.1 
-0.255121  1.11137  1.1 
-0.357161  1.16493  1.1 
-0.459201  1.14452  1.1 


# Contour 9, label:        1
 0.467759 -2.29592  1 
 0.468029 -2.19388  1 
 0.473654 -2.09184  1 
 0.488714 -1.9898  1 
 0.507936 -1.88776  1 
 0.524521 -1.78572  1 
 0.537552 -1.68368  1 
 0.551223 -1.58164  1 
 0.561199 -1.52661  1 
 0.563971 -1.4796  1 
 0.575193 -1.37756  1 
 0.594079 -1.27552  1 
 0.623872 -1.17348  1 
 0.663239 -1.08464  1 
 0.667781 -1.07144  1 
 0.722537 -0.969401  1 
 0.765279 -0.912407  1 
 0.800904 -0.867361  1 
 0.867319 -0.800946  1 
 0.912366 -0.765321  1 
 0.969359 -0.722533  1 
 1.0714 -0.667843  1 
 1.08465 -0.663281  1 
 1.17344 -0.623863  1 
 1.27548 -0.594148  1 
 1.37752 -0.575254  1 
 1.47956 -0.563834  1 
 1.52368 -0.561241  1 
 1.5816 -0.550844  1 
 1.68364 -0.536958  1 
 1.78568 -0.523882  1 
 1.88772 -0.507991  1 
 1.98976 -0.488766  1 
 2.0918 -0.473702  1 
 2.19384 -0.468073  1 
 2.29588 -0.467803  1 
 2.39792 -0.463073  1 
 2.47769 -0.459201  1 
 2.39792 -0.454399  1 
 2.29588 -0.453985  1 
 2.19384 -0.455964  1 
 2.0918 -0.45504  1 
 1.98976 -0.450567  1 
 1.88772 -0.440183  1 
 1.78568 -0.421559  1 
 1.68364 -0.38731  1 
 1.63671 -0.357161  1 
 1.5816 -0.343717  1 
 1.47956 -0.306191  1 
 1.39025 -0.255121  1 
 1.37752 -0.250632  1 
 1.27548 -0.2008  1 
 1.20493 -0.153081  1 
 1.17344 -0.137526  1 
 1.0714 -0.0720484  1 
 1.04582 -0.0510409  1 
 0.969359 -0.000587637  1 
 0.905165  0.0509992  1 
 0.867319  0.0774214  1 
 0.774878  0.153039  1 
 0.765279  0.160276  1 
 0.663239  0.247853  1 
 0.655667  0.255079  1 
 0.561199  0.341187  1 
 0.544835  0.357119  1 
 0.459159  0.440163  1 
 0.440163  0.459159  1 
 0.357119  0.544835  1 
 0.341187  0.561199  1 
 0.255079  0.655667  1 
 0.247853  0.663239  1 
 0.160276  0.765279  1 
 0.153039  0.774878  1 
 0.0774214  0.867319  1 
 0.0509992  0.905165  1 
-0.000587637  0.969359  1 
-0.0510409  1.04582  1 
-0.0720484  1.0714  1 
-0.137526  1.17344  1 
-0.153081  1.20493  1 
-0.2008  1.27548  1 
-0.250632  1.37752  1 
-0.255121  1.39025  1 
-0.306191  1.47956  1 
-0.343717  1.5816  1 
-0.357161  1.63671  1 
-0.38731  1.68364  1 
-0.421559  1.78568  1 
-0.440183  1.88772  1 
-0.450567  1.98976  1 
-0.45504  2.0918  1 
-0.455964  2.19384  1 
-0.453985  2.29588  1 
-0.454399  2.39792  1 
-0.459201  2.47769  1 

# Contour 10, label: 
-0.459201  2.47769  1 
-0.463073  2.39792  1 
-0.467803  2.29588  1 
-0.468073  2.19384  1 
-0.473702  2.0918  1 
-0.488766  1.98976  1 
-0.507991  1.88772  1 
-0.523882  1.78568  1 
-0.536958  1.68364  1 
-0.550844  1.5816  1 
-0.561241  1.52368  1 
-0.563834  1.47956  1 
-0.575254  1.37752  1 
-0.594148  1.27548  1 
-0.623863  1.17344  1 
-0.663281  1.08465  1 
-0.667843  1.0714  1 
-0.722533  0.969359  1 
-0.765321  0.912366  1 
-0.800946  0.867319  1 
-0.867361  0.800904  1 
-0.912407  0.765279  1 
-0.969401  0.722537  1 
-1.07144  0.667781  1 
-1.08464  0.663239  1 
-1.17348  0.623872  1 
-1.27552  0.594079  1 
-1.37756  0.575193  1 
-1.4796  0.563971  1 
-1.52661  0.561199  1 
-1.58164  0.551223  1 
-1.68368  0.537552  1 
-1.78572  0.524521  1 
-1.88776  0.507936  1 
-1.9898  0.488714  1 
-2.09184  0.473654  1 
-2.19388  0.468029  1 
-2.29592  0.467759  1 
-2.39796  0.46303  1 
-2.47772  0.459159  1 
-2.39796  0.454359  1 
-2.29592  0.453944  1 
-2.19388  0.455923  1 
-2.09184  0.455  1 
-1.9898  0.450528  1 
-1.88776  0.440146  1 
-1.78572  0.421781  1 
-1.68368  0.387734  1 
-1.63567  0.357119  1 
-1.58164  0.343951  1 
-1.4796  0.306162  1 
-1.39026  0.255079  1 
-1.37756  0.250611  1 
-1.27552  0.200777  1 
-1.20494  0.153039  1 
-1.17348  0.137504  1 
-1.07144  0.0720586  1 
-1.04586  0.0509992  1 
-0.969401  0.000545927  1 
-0.905207 -0.0510409  1 
-0.867361 -0.0774631  1 
-0.77492 -0.153081  1 
-0.765321 -0.160311  1 
-0.663281 -0.247894  1 
-0.655703 -0.255121  1 
-0.561241 -0.34115  1 
-0.544785 -0.357161  1 
-0.459201 -0.440073  1 
-0.440073 -0.459201  1 
-0.357161 -0.544785  1 
-0.34115 -0.561241  1 
-0.255121 -0.655703  1 
-0.247894 -0.663281  1 
-0.160311 -0.765321  1 
-0.153081 -0.77492  1 
-0.0774631 -0.867361  1 
-0.0510409 -0.905207  1 
 0.000545927 -0.969401  1 
 0.0509992 -1.04586  1 
 0.0720586 -1.07144  1 
 0.137504 -1.17348  1 
 0.153039 -1.20494  1 
 0.200777 -1.27552  1 
 0.250611 -1.37756  1 
 0.255079 -1.39026  1 
 0.306162 -1.4796  1 
 0.343951 -1.58164  1 
 0.357119 -1.63567  1 
 0.387734 -1.68368  1 
 0.421781 -1.78572  1 
 0.440146 -1.88776  1 
 0.450528 -1.9898  1 
 0.455 -2.09184  1 
 0.455923 -2.19388  1 
 0.453944 -2.29592  1 
 0.454359 -2.39796  1 
 0.459159 -2.47772  1 
 0.46303 -2.39796  1 
 0.467759 -2.29592  1 


# Contour 11, label:      0.9
 2.49996 -0.808178  0.9 
 2.39792 -0.811531  0.9 
 2.29588 -0.809911  0.9 
 2.19384 -0.804108  0.9 
 2.0918 -0.795233  0.9 
 1.98976 -0.784062  0.9 
 1.88772 -0.771488  0.9 
 1.84082 -0.765321  0.9 
 1.78568 -0.756068  0.9 
 1.68364 -0.739608  0.9 
 1.5816 -0.726254  0.9 
 1.47956 -0.717288  0.9 
 1.37752 -0.714703  0.9 
 1.27548 -0.720995  0.9 
 1.17344 -0.739677  0.9 
 1.09964 -0.765321  0.9 
 1.0714 -0.774633  0.9 
 0.969359 -0.831297  0.9 
 0.924572 -0.867361  0.9 
 0.867319 -0.924614  0.9 
 0.831255 -0.969401  0.9 
 0.77459 -1.07144  0.9 
 0.765279 -1.09969  0.9 
 0.739633 -1.17348  0.9 
 0.720951 -1.27552  0.9 
 0.714697 -1.37756  0.9 
 0.717305 -1.4796  0.9 
 0.726204 -1.58164  0.9 
 0.739678 -1.68368  0.9 
 0.756023 -1.78572  0.9 
 0.765279 -1.84043  0.9 
 0.771557 -1.88776  0.9 
 0.784046 -1.9898  0.9 
 0.795191 -2.09184  0.9 
 0.804066 -2.19388  0.9 
 0.809869 -2.29592  0.9 
 0.811489 -2.39796  0.9 
 0.808136 -2.5  0.9 

# Contour 12, label: 
-2.5 -0.0540309  0.9 
-2.49548 -0.0510409  0.9 
-2.39796  0.0104495  0.9 
-2.31415  0.0509992  0.9 
-2.29592  0.0596561  0.9 
-2.19388  0.0986718  0.9 
-2.09184  0.125763  0.9 
-1.9898  0.143075  0.9 
-1.88776  0.152325  0.9 
-1.8565  0.153039  0.9 
-1.78572  0.154841  0.9 
-1.75304  0.153039  0.9 
-1.68368  0.150019  0.9 
-1.58164  0.138965  0.9 
-1.4796  0.120808  0.9 
-1.37756  0.094435  0.9 
-1.27552  0.058127  0.9 
-1.26078  0.0509992  0.9 
-1.17348  0.0157289  0.9 
-1.07144 -0.0363619  0.9 
-1.04878 -0.0510409  0.9 
-0.969401 -0.0964239  0.9 
-0.886355 -0.153081  0.9 
-0.867361 -0.165165  0.9 
-0.765321 -0.241276  0.9 
-0.749109 -0.255121  0.9 
-0.663281 -0.32567  0.9 
-0.628466 -0.357161  0.9 
-0.561241 -0.418062  0.9 
-0.518672 -0.459201  0.9 
-0.459201 -0.518672  0.9 
-0.418062 -0.561241  0.9 
-0.357161 -0.628466  0.9 
-0.32567 -0.663281  0.9 
-0.255121 -0.749109  0.9 
-0.241276 -0.765321  0.9 
-0.165165 -0.867361  0.9 
-0.153081 -0.886355  0.9 
-0.0964239 -0.969401  0.9 
-0.0510409 -1.04878  0.9 
-0.0363619 -1.07144  0.9 
 0.0157289 -1.17348  0.9 
 0.0509992 -1.26078  0.9 
 0.058127 -1.27552  0.9 
 0.094435 -1.37756  0.9 
 0.120808 -1.4796  0.9 
 0.138965 -1.58164  0.9 
 0.150019 -1.68368  0.9 
 0.153039 -1.75304  0.9 
 0.154841 -1.78572  0.9 
 0.153039 -1.8565  0.9 
 0.152325 -1.88776  0.9 
 0.143075 -1.9898  0.9 
 0.125763 -2.09184  0.9 
 0.0986718 -2.19388  0.9 
 0.0596561 -2.29592  0.9 
 0.0509992 -2.31415  0.9 
 0.0104495 -2.39796  0.9 
-0.0510409 -2.49548  0.9 
-0.0540309 -2.5  0.9 

# Contour 13, label: 
 0.0539893  2.49996  0.9 
 0.0509992  2.49544  0.9 
-0.0104911  2.39792  0.9 
-0.0510409  2.3141  0.9 
-0.0596977  2.29588  0.9 
-0.0987133  2.19384  0.9 
-0.125804  2.0918  0.9 
-0.143117  1.98976  0.9 
-0.152366  1.88772  0.9 
-0.153081  1.8564  0.9 
-0.15488  1.78568  0.9 
-0.153081  1.75304  0.9 
-0.150059  1.68364  0.9 
-0.139002  1.5816  0.9 
-0.12074  1.47956  0.9 
-0.0944062  1.37752  0.9 
-0.0581577  1.27548  0.9 
-0.0510409  1.26076  0.9 
-0.0157199  1.17344  0.9 
 0.036419  1.0714  0.9 
 0.0509992  1.04887  0.9 
 0.0964646  0.969359  0.9 
 0.153039  0.886364  0.9 
 0.165145  0.867319  0.9 
 0.241311  0.765279  0.9 
 0.255079  0.749155  0.9 
 0.325741  0.663239  0.9 
 0.357119  0.628576  0.9 
 0.418097  0.561199  0.9 
 0.459159  0.518734  0.9 
 0.518734  0.459159  0.9 
 0.561199  0.418097  0.9 
 0.628576  0.357119  0.9 
 0.663239  0.325741  0.9 
 0.749155  0.255079  0.9 
 0.765279  0.241311  0.9 
 0.867319  0.165145  0.9 
 0.886364  0.153039  0.9 
 0.969359  0.0964646  0.9 
 1.04887  0.0509992  0.9 
 1.0714  0.036419  0.9 
 1.17344 -0.0157199  0.9 
 1.26076 -0.0510409  0.9 
 1.27548 -0.0581577  0.9 
 1.37752 -0.0944062  0.9 
 1.47956 -0.12074  0.9 
 1.5816 -0.139002  0.9 
 1.68364 -0.150059  0.9 
 1.75304 -0.153081  0.9 
 1.78568 -0.15488  0.9 
 1.8564 -0.153081  0.9 
 1.88772 -0.152366  0.9 
 1.98976 -0.143117  0.9 
 2.0918 -0.125804  0.9 
 2.19384 -0.0987133  0.9 
 2.29588 -0.0596977  0.9 
 2.3141 -0.0510409  0.9 
 2.39792 -0.0104911  0.9 
 2.49544  0.0509992  0.9 
 2.49996  0.0539893  0.9 

# Contour 14, label: 
-0.808178  2.49996  0.9 
-0.811531  2.39792  0.9 
-0.809911  2.29588  0.9 
-0.804108  2.19384  0.9 
-0.795233  2.0918  0.9 
-0.784062  1.98976  0.9 
-0.771488  1.88772  0.9 
-0.765321  1.84082  0.9 
-0.756068  1.78568  0.9 
-0.739608  1.68364  0.9 
